,0,bill_number,display_name,first_name,id,last_name,party,state
1,,0,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2,,0,Allard (R-CO),Wayne,S250,Allard,R,CO
3,,0,Allen (R-VA),George,S274,Allen,R,VA
4,,0,Baucus (D-MT),Max,S127,Baucus,D,MT
5,,0,Bayh (D-IN),Evan,S264,Bayh,D,IN
6,,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
7,,0,Biden (D-DE),Joseph,S010,Biden,D,DE
8,,0,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
9,,0,Bond (R-MO),Christopher,S200,Bond,R,MO
10,,0,Boxer (D-CA),Barbara,S223,Boxer,D,CA
11,,0,Breaux (D-LA),John,S179,Breaux,D,LA
12,,0,Brownback (R-KS),Sam,S249,Brownback,R,KS
13,,0,Bunning (R-KY),Jim,S265,Bunning,R,KY
14,,0,Burns (R-MT),Conrad,S211,Burns,R,MT
15,,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
16,,0,Campbell (R-CO),Ben,S225,Campbell,R,CO
17,,0,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
18,,0,Carnahan (D-MO),Jean,S276,Carnahan,D,MO
19,,0,Carper (D-DE),Thomas,S277,Carper,D,DE
20,,0,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
21,,0,Cleland (D-GA),Max,S251,Cleland,D,GA
22,,0,Clinton (D-NY),Hillary,S278,Clinton,D,NY
23,,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
24,,0,Collins (R-ME),Susan,S252,Collins,R,ME
25,,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
26,,0,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
27,,0,Craig (R-ID),Larry,S215,Craig,R,ID
28,,0,Crapo (R-ID),Michael,S266,Crapo,R,ID
29,,0,Daschle (D-SD),Thomas,S185,Daschle,D,SD
30,,0,Dayton (D-MN),Mark,S280,Dayton,D,MN
31,,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
32,,0,Dodd (D-CT),Christopher,S150,Dodd,D,CT
33,,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
34,,0,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
35,,0,Durbin (D-IL),Richard,S253,Durbin,D,IL
36,,0,Edwards (D-NC),John,S267,Edwards,D,NC
37,,0,Ensign (R-NV),John,S281,Ensign,R,NV
38,,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
39,,0,Feingold (D-WI),Russell,S230,Feingold,D,WI
40,,0,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
41,,0,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
42,,0,Frist (R-TN),Bill,S241,Frist,R,TN
43,,0,Graham (D-FL),Bob,S199,Graham,D,FL
44,,0,Gramm (R-TX),Phil,S171,Gramm,R,TX
45,,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
46,,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
47,,0,Hagel (R-NE),Chuck,S255,Hagel,R,NE
48,,0,Harkin (D-IA),Tom,S172,Harkin,D,IA
49,,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
50,,0,Helms (R-NC),Jesse,S046,Helms,R,NC
51,,0,Hollings (D-SC),Ernest,S047,Hollings,D,SC
52,,0,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
53,,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
54,,0,Inhofe (R-OK),James,S236,Inhofe,R,OK
55,,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
56,,0,Jeffords (R-VT),James,S204,Jeffords,R,VT
57,,0,Johnson (D-SD),Tim,S257,Johnson,D,SD
58,,0,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
59,,0,Kerry (D-MA),John,S173,Kerry,D,MA
60,,0,Kohl (D-WI),Herb,S209,Kohl,D,WI
61,,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
62,,0,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
63,,0,Leahy (D-VT),Patrick,S057,Leahy,D,VT
64,,0,Levin (D-MI),Carl,S131,Levin,D,MI
65,,0,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
66,,0,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
67,,0,Lott (R-MS),Trent,S203,Lott,R,MS
68,,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
69,,0,McCain (R-AZ),John,S197,McCain,R,AZ
70,,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
71,,0,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
72,,0,Miller (D-GA),Zell,S273,Miller,D,GA
73,,0,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
74,,0,Murray (D-WA),Patty,S229,Murray,D,WA
75,,0,Nelson (D-FL),Bill,S282,Nelson,D,FL
76,,0,Nelson (D-NE),E.,S283,Nelson,D,NE
77,,0,Nickles (R-OK),Don,S158,Nickles,R,OK
78,,0,Reed (D-RI),Jack,S259,Reed,D,RI
79,,0,Reid (D-NV),Harry,S198,Reid,D,NV
80,,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
81,,0,Rockefeller (D-WV),John,S176,Rockefeller,D,WV
82,,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
83,,0,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
84,,0,Schumer (D-NY),Charles,S270,Schumer,D,NY
85,,0,Sessions (R-AL),Jeff,S261,Sessions,R,AL
86,,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
87,,0,Smith (R-NH),Bob,S216,Smith,R,NH
88,,0,Smith (R-OR),Gordon,S262,Smith,R,OR
89,,0,Snowe (R-ME),Olympia,S245,Snowe,R,ME
90,,0,Specter (R-PA),Arlen,S161,Specter,R,PA
91,,0,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
92,,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
93,,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
94,,0,Thompson (R-TN),Fred,S237,Thompson,R,TN
95,,0,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
96,,0,Torricelli (D-NJ),Robert,S263,Torricelli,D,NJ
97,,0,Voinovich (R-OH),George,S271,Voinovich,R,OH
98,,0,Warner (R-VA),John,S143,Warner,R,VA
99,,0,Wellstone (D-MN),Paul,S217,Wellstone,D,MN
100,,0,Wyden (D-OR),Ron,S247,Wyden,D,OR
101,,1,Akaka (D-HI),Daniel,S213,Akaka,D,HI
102,,1,Allard (R-CO),Wayne,S250,Allard,R,CO
103,,1,Allen (R-VA),George,S274,Allen,R,VA
104,,1,Baucus (D-MT),Max,S127,Baucus,D,MT
105,,1,Bayh (D-IN),Evan,S264,Bayh,D,IN
106,,1,Bennett (R-UT),Robert,S231,Bennett,R,UT
107,,1,Biden (D-DE),Joseph,S010,Biden,D,DE
108,,1,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
109,,1,Bond (R-MO),Christopher,S200,Bond,R,MO
110,,1,Boxer (D-CA),Barbara,S223,Boxer,D,CA
111,,1,Breaux (D-LA),John,S179,Breaux,D,LA
112,,1,Brownback (R-KS),Sam,S249,Brownback,R,KS
113,,1,Bunning (R-KY),Jim,S265,Bunning,R,KY
114,,1,Burns (R-MT),Conrad,S211,Burns,R,MT
115,,1,Byrd (D-WV),Robert,S017,Byrd,D,WV
116,,1,Campbell (R-CO),Ben,S225,Campbell,R,CO
117,,1,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
118,,1,Carnahan (D-MO),Jean,S276,Carnahan,D,MO
119,,1,Carper (D-DE),Thomas,S277,Carper,D,DE
120,,1,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
121,,1,Cleland (D-GA),Max,S251,Cleland,D,GA
122,,1,Clinton (D-NY),Hillary,S278,Clinton,D,NY
123,,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
124,,1,Collins (R-ME),Susan,S252,Collins,R,ME
125,,1,Conrad (D-ND),Kent,S201,Conrad,D,ND
126,,1,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
127,,1,Craig (R-ID),Larry,S215,Craig,R,ID
128,,1,Crapo (R-ID),Michael,S266,Crapo,R,ID
129,,1,Daschle (D-SD),Thomas,S185,Daschle,D,SD
130,,1,Dayton (D-MN),Mark,S280,Dayton,D,MN
