,bill_number,display_name,first_name,id,last_name,party,state
0,0,Akaka (D-HI),Daniel,S213,Akaka,D,HI
1,0,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2,0,Allard (R-CO),A.,S250,Allard,R,CO
3,0,Allen (R-VA),George,S274,Allen,R,VA
4,0,Baucus (D-MT),Max,S127,Baucus,D,MT
5,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
6,0,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
7,0,Bond (R-MO),Christopher,S200,Bond,R,MO
8,0,Brownback (R-KS),Samuel,S249,Brownback,R,KS
9,0,Bunning (R-KY),Jim,S265,Bunning,R,KY
10,0,Burns (R-MT),Conrad,S211,Burns,R,MT
11,0,Burr (R-NC),Richard,S300,Burr,R,NC
12,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
13,0,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
14,0,Carper (D-DE),Thomas,S277,Carper,D,DE
15,0,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
16,0,Chambliss (R-GA),Saxby,S290,Chambliss,R,GA
17,0,Coburn (R-OK),Tom,S301,Coburn,R,OK
18,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
19,0,Coleman (R-MN),Norm,S291,Coleman,R,MN
20,0,Collins (R-ME),Susan,S252,Collins,R,ME
21,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
22,0,Cornyn (R-TX),John,S287,Cornyn,R,TX
23,0,Craig (R-ID),Larry,S215,Craig,R,ID
24,0,Crapo (R-ID),Mike,S266,Crapo,R,ID
25,0,DeMint (R-SC),James,S302,DeMint,R,SC
26,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
27,0,Dole (R-NC),Elizabeth,S292,Dole,R,NC
28,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
29,0,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
30,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
31,0,Frist (R-TN),Bill,S241,Frist,R,TN
32,0,Graham (R-SC),Lindsey,S293,Graham,R,SC
33,0,Grassley (R-IA),Charles,S153,Grassley,R,IA
34,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
35,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
36,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
37,0,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
38,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
39,0,Isakson (R-GA),Johnny,S305,Isakson,R,GA
40,0,Johnson (D-SD),Tim,S257,Johnson,D,SD
41,0,Kohl (D-WI),Herb,S209,Kohl,D,WI
42,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
43,0,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
44,0,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
45,0,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
46,0,Lott (R-MS),Trent,S203,Lott,R,MS
47,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
48,0,Martinez (R-FL),Mel,S304,Martinez,R,FL
49,0,McCain (R-AZ),John,S197,McCain,R,AZ
50,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
51,0,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
52,0,Nelson (D-FL),Bill,S282,Nelson,D,FL
53,0,Nelson (D-NE),E.,S283,Nelson,D,NE
54,0,Pryor (D-AR),Mark,S295,Pryor,D,AR
55,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
56,0,Rockefeller (D-WV),Jay,S176,Rockefeller,D,WV
57,0,Salazar (D-CO),Ken,S297,Salazar,D,CO
58,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
59,0,Sessions (R-AL),Jeff,S261,Sessions,R,AL
60,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
61,0,Smith (R-OR),Gordon,S262,Smith,R,OR
62,0,Snowe (R-ME),Olympia,S245,Snowe,R,ME
63,0,Specter (R-PA),Arlen,S161,Specter,R,PA
64,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
65,0,Sununu (R-NH),John,S296,Sununu,R,NH
66,0,Talent (R-MO),Jim,S286,Talent,R,MO
67,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
68,0,Thune (R-SD),John,S303,Thune,R,SD
69,0,Vitter (R-LA),David,S299,Vitter,R,LA
70,0,Voinovich (R-OH),George,S271,Voinovich,R,OH
71,0,Warner (R-VA),John,S143,Warner,R,VA
72,1,Alexander (R-TN),Lamar,S289,Alexander,R,TN
73,1,Allard (R-CO),A.,S250,Allard,R,CO
74,1,Allen (R-VA),George,S274,Allen,R,VA
75,1,Bennett (R-UT),Robert,S231,Bennett,R,UT
76,1,Bond (R-MO),Christopher,S200,Bond,R,MO
77,1,Brownback (R-KS),Samuel,S249,Brownback,R,KS
78,1,Bunning (R-KY),Jim,S265,Bunning,R,KY
79,1,Burns (R-MT),Conrad,S211,Burns,R,MT
80,1,Burr (R-NC),Richard,S300,Burr,R,NC
81,1,Byrd (D-WV),Robert,S017,Byrd,D,WV
82,1,Chambliss (R-GA),Saxby,S290,Chambliss,R,GA
83,1,Coburn (R-OK),Tom,S301,Coburn,R,OK
84,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
85,1,Coleman (R-MN),Norm,S291,Coleman,R,MN
86,1,Collins (R-ME),Susan,S252,Collins,R,ME
87,1,Conrad (D-ND),Kent,S201,Conrad,D,ND
88,1,Cornyn (R-TX),John,S287,Cornyn,R,TX
89,1,Craig (R-ID),Larry,S215,Craig,R,ID
90,1,Crapo (R-ID),Mike,S266,Crapo,R,ID
91,1,DeMint (R-SC),James,S302,DeMint,R,SC
92,1,DeWine (R-OH),Mike,S240,DeWine,R,OH
93,1,Dole (R-NC),Elizabeth,S292,Dole,R,NC
94,1,Domenici (R-NM),Pete,S027,Domenici,R,NM
95,1,Ensign (R-NV),John,S281,Ensign,R,NV
96,1,Enzi (R-WY),Michael,S254,Enzi,R,WY
97,1,Frist (R-TN),Bill,S241,Frist,R,TN
98,1,Graham (R-SC),Lindsey,S293,Graham,R,SC
99,1,Grassley (R-IA),Charles,S153,Grassley,R,IA
100,1,Gregg (R-NH),Judd,S224,Gregg,R,NH
101,1,Hagel (R-NE),Chuck,S255,Hagel,R,NE
102,1,Hatch (R-UT),Orrin,S118,Hatch,R,UT
103,1,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
104,1,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
105,1,Isakson (R-GA),Johnny,S305,Isakson,R,GA
106,1,Johnson (D-SD),Tim,S257,Johnson,D,SD
107,1,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
108,1,Lott (R-MS),Trent,S203,Lott,R,MS
109,1,Lugar (R-IN),Richard,S105,Lugar,R,IN
110,1,Martinez (R-FL),Mel,S304,Martinez,R,FL
111,1,McCain (R-AZ),John,S197,McCain,R,AZ
112,1,McConnell (R-KY),Mitch,S174,McConnell,R,KY
113,1,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
114,1,Nelson (D-NE),E.,S283,Nelson,D,NE
115,1,Roberts (R-KS),Pat,S260,Roberts,R,KS
116,1,Santorum (R-PA),Rick,S244,Santorum,R,PA
117,1,Sessions (R-AL),Jeff,S261,Sessions,R,AL
118,1,Shelby (R-AL),Richard,S184,Shelby,R,AL
119,1,Smith (R-OR),Gordon,S262,Smith,R,OR
120,1,Snowe (R-ME),Olympia,S245,Snowe,R,ME
121,1,Specter (R-PA),Arlen,S161,Specter,R,PA
122,1,Stevens (R-AK),Ted,S090,Stevens,R,AK
123,1,Sununu (R-NH),John,S296,Sununu,R,NH
124,1,Talent (R-MO),Jim,S286,Talent,R,MO
125,1,Thomas (R-WY),Craig,S246,Thomas,R,WY
126,1,Thune (R-SD),John,S303,Thune,R,SD
127,1,Vitter (R-LA),David,S299,Vitter,R,LA
128,1,Voinovich (R-OH),George,S271,Voinovich,R,OH
129,1,Warner (R-VA),John,S143,Warner,R,VA
130,2,Akaka (D-HI),Daniel,S213,Akaka,D,HI
131,2,Baucus (D-MT),Max,S127,Baucus,D,MT
132,2,Bayh (D-IN),Evan,S264,Bayh,D,IN
133,2,Biden (D-DE),Joseph,S010,Biden,D,DE
134,2,Boxer (D-CA),Barbara,S223,Boxer,D,CA
135,2,Byrd (D-WV),Robert,S017,Byrd,D,WV
136,2,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
137,2,Carper (D-DE),Thomas,S277,Carper,D,DE
138,2,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
